ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0098542	defense response to other organism	2/4	313/12621	0.00355895180813919	0.069810693482923	0.0399374676675761	spen/Ets21C	2
GO:0009607	response to biotic stimulus	2/4	399/12621	0.00573412574458879	0.069810693482923	0.0399374676675761	spen/Ets21C	2
GO:0043207	response to external biotic stimulus	2/4	399/12621	0.00573412574458879	0.069810693482923	0.0399374676675761	spen/Ets21C	2
GO:0051707	response to other organism	2/4	399/12621	0.00573412574458879	0.069810693482923	0.0399374676675761	spen/Ets21C	2
GO:0006952	defense response	2/4	418/12621	0.00628109045772323	0.069810693482923	0.0399374676675761	spen/Ets21C	2
GO:0007400	neuroblast fate determination	1/4	26/12621	0.00821577992023548	0.069810693482923	0.0399374676675761	spen	1
GO:0009954	proximal/distal pattern formation	1/4	28/12621	0.00884565913851532	0.069810693482923	0.0399374676675761	spen	1
GO:0014017	neuroblast fate commitment	1/4	30/12621	0.00947523828333074	0.069810693482923	0.0399374676675761	spen	1
GO:0048867	stem cell fate determination	1/4	31/12621	0.00978991535797658	0.069810693482923	0.0399374676675761	spen	1
GO:0090263	positive regulation of canonical Wnt signaling pathway	1/4	37/12621	0.0116764035876692	0.069810693482923	0.0399374676675761	spen	1
GO:0048865	stem cell fate commitment	1/4	39/12621	0.0123046335812375	0.069810693482923	0.0399374676675761	spen	1
GO:0010001	glial cell differentiation	1/4	41/12621	0.0129325640254034	0.069810693482923	0.0399374676675761	spen	1
GO:0030177	positive regulation of Wnt signaling pathway	1/4	42/12621	0.013246416946222	0.069810693482923	0.0399374676675761	spen	1
GO:0008407	chaeta morphogenesis	1/4	44/12621	0.0138738982448453	0.069810693482923	0.0399374676675761	spen	1
GO:0014016	neuroblast differentiation	1/4	45/12621	0.0141875266464531	0.069810693482923	0.0399374676675761	spen	1
GO:0007379	segment specification	1/4	46/12621	0.0145010802321253	0.069810693482923	0.0399374676675761	spen	1
GO:0035317	imaginal disc-derived wing hair organization	1/4	48/12621	0.015127963003259	0.069810693482923	0.0399374676675761	spen	1
GO:0008586	imaginal disc-derived wing vein morphogenesis	1/4	49/12621	0.0154412922125158	0.069810693482923	0.0399374676675761	spen	1
GO:0035315	hair cell differentiation	1/4	49/12621	0.0154412922125158	0.069810693482923	0.0399374676675761	spen	1
GO:0035316	non-sensory hair organization	1/4	49/12621	0.0154412922125158	0.069810693482923	0.0399374676675761	spen	1
GO:0009913	epidermal cell differentiation	1/4	51/12621	0.0160677263378912	0.069810693482923	0.0399374676675761	spen	1
GO:0050832	defense response to fungus	1/4	53/12621	0.0166938614850468	0.069810693482923	0.0399374676675761	spen	1
GO:0007173	epidermal growth factor receptor signaling pathway	1/4	62/12621	0.0195077723424678	0.0707257118649643	0.0404609335611924	spen	1
GO:0008544	epidermis development	1/4	62/12621	0.0195077723424678	0.0707257118649643	0.0404609335611924	spen	1
GO:0038127	ERBB signaling pathway	1/4	62/12621	0.0195077723424678	0.0707257118649643	0.0404609335611924	spen	1
GO:0007422	peripheral nervous system development	1/4	66/12621	0.0207564589168917	0.0707257118649643	0.0404609335611924	spen	1
GO:0009620	response to fungus	1/4	66/12621	0.0207564589168917	0.0707257118649643	0.0404609335611924	spen	1
GO:0035222	wing disc pattern formation	1/4	75/12621	0.023561642741603	0.0767222819367603	0.0438914656388789	spen	1
GO:0060828	regulation of canonical Wnt signaling pathway	1/4	77/12621	0.0241841975670223	0.0767222819367603	0.0438914656388789	spen	1
GO:0042063	gliogenesis	1/4	84/12621	0.0263607953566306	0.0795486360015972	0.0455083729986254	spen	1
GO:0022416	chaeta development	1/4	86/12621	0.0269820110882806	0.0795486360015972	0.0455083729986254	spen	1
GO:0060070	canonical Wnt signaling pathway	1/4	89/12621	0.0279132772490583	0.0795486360015972	0.0455083729986254	spen	1
GO:0030111	regulation of Wnt signaling pathway	1/4	91/12621	0.0285337498701381	0.0795486360015972	0.0455083729986254	spen	1
GO:0048863	stem cell differentiation	1/4	98/12621	0.0307030651753225	0.083078882239108	0.0475279646676819	spen	1
GO:0007447	imaginal disc pattern formation	1/4	108/12621	0.0337957821868851	0.0848007421958321	0.048513010409515	spen	1
GO:0001736	establishment of planar polarity	1/4	109/12621	0.034104646317889	0.0848007421958321	0.048513010409515	spen	1
GO:0007164	establishment of tissue polarity	1/4	109/12621	0.034104646317889	0.0848007421958321	0.048513010409515	spen	1
GO:0016055	Wnt signaling pathway	1/4	117/12621	0.0365728943335367	0.0876602339742072	0.0501488752712856	spen	1
GO:0001738	morphogenesis of a polarized epithelium	1/4	120/12621	0.0374972666473257	0.0876602339742072	0.0501488752712856	spen	1
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	1/4	122/12621	0.038113145206177	0.0876602339742072	0.0501488752712856	spen	1
GO:0198738	cell-cell signaling by wnt	1/4	128/12621	0.0399590076018662	0.0896641146188218	0.0512952600794175	spen	1
GO:0001709	cell fate determination	1/4	144/12621	0.0448683199074545	0.0982829864639481	0.056225964796309	spen	1
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1/4	181/12621	0.0561489790835246	0.120132699434518	0.0687258005918293	spen	1
GO:0042742	defense response to bacterium	1/4	236/12621	0.0727324926850828	0.14931217034187	0.085418861751642	Ets21C	1
GO:0007167	enzyme linked receptor protein signaling pathway	1/4	265/12621	0.0813880246786702	0.14931217034187	0.085418861751642	spen	1
GO:0005975	carbohydrate metabolic process	1/4	266/12621	0.081685406347599	0.14931217034187	0.085418861751642	Cda5	1
GO:0009617	response to bacterium	1/4	267/12621	0.0819827158073004	0.14931217034187	0.085418861751642	Ets21C	1
GO:0007411	axon guidance	1/4	277/12621	0.0849518414681313	0.14931217034187	0.085418861751642	spen	1
GO:0000375	RNA splicing, via transesterification reactions	1/4	279/12621	0.085544801258183	0.14931217034187	0.085418861751642	snRNA:U1:21D	1
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	1/4	279/12621	0.085544801258183	0.14931217034187	0.085418861751642	snRNA:U1:21D	1
GO:0000398	mRNA splicing, via spliceosome	1/4	279/12621	0.085544801258183	0.14931217034187	0.085418861751642	snRNA:U1:21D	1
GO:0097485	neuron projection guidance	1/4	286/12621	0.0876178913304414	0.14931217034187	0.085418861751642	spen	1
GO:0006935	chemotaxis	1/4	296/12621	0.0905733316414843	0.14931217034187	0.085418861751642	spen	1
GO:0008380	RNA splicing	1/4	297/12621	0.0908684802559615	0.14931217034187	0.085418861751642	snRNA:U1:21D	1
GO:0035282	segmentation	1/4	297/12621	0.0908684802559615	0.14931217034187	0.085418861751642	spen	1
GO:0007476	imaginal disc-derived wing morphogenesis	1/4	299/12621	0.0914585619547458	0.14931217034187	0.085418861751642	spen	1
GO:0007472	wing disc morphogenesis	1/4	309/12621	0.0944046628763517	0.14931217034187	0.085418861751642	spen	1
GO:0006397	mRNA processing	1/4	334/12621	0.101738568655438	0.14931217034187	0.085418861751642	snRNA:U1:21D	1
GO:0045165	cell fate commitment	1/4	342/12621	0.104075982830298	0.14931217034187	0.085418861751642	spen	1
GO:0007409	axonogenesis	1/4	344/12621	0.104659622906767	0.14931217034187	0.085418861751642	spen	1
GO:0035120	post-embryonic appendage morphogenesis	1/4	347/12621	0.105534548298647	0.14931217034187	0.085418861751642	spen	1
GO:0009967	positive regulation of signal transduction	1/4	355/12621	0.107864547850803	0.14931217034187	0.085418861751642	spen	1
GO:0035114	imaginal disc-derived appendage morphogenesis	1/4	357/12621	0.108446335781456	0.14931217034187	0.085418861751642	spen	1
GO:0061564	axon development	1/4	357/12621	0.108446335781456	0.14931217034187	0.085418861751642	spen	1
GO:0035107	appendage morphogenesis	1/4	360/12621	0.109318484086609	0.14931217034187	0.085418861751642	spen	1
GO:0048737	imaginal disc-derived appendage development	1/4	364/12621	0.110480352944571	0.14931217034187	0.085418861751642	spen	1
GO:0048736	appendage development	1/4	369/12621	0.111931090071632	0.14931217034187	0.085418861751642	spen	1
GO:0042330	taxis	1/4	370/12621	0.112221024420286	0.14931217034187	0.085418861751642	spen	1
GO:0010647	positive regulation of cell communication	1/4	389/12621	0.117716300533004	0.14931217034187	0.085418861751642	spen	1
GO:0023056	positive regulation of signaling	1/4	389/12621	0.117716300533004	0.14931217034187	0.085418861751642	spen	1
GO:0016071	mRNA metabolic process	1/4	402/12621	0.121461499556051	0.14931217034187	0.085418861751642	snRNA:U1:21D	1
GO:0035220	wing disc development	1/4	407/12621	0.122898781067619	0.14931217034187	0.085418861751642	spen	1
GO:0007560	imaginal disc morphogenesis	1/4	420/12621	0.126627459880068	0.14931217034187	0.085418861751642	spen	1
GO:0048563	post-embryonic animal organ morphogenesis	1/4	420/12621	0.126627459880068	0.14931217034187	0.085418861751642	spen	1
GO:0048749	compound eye development	1/4	445/12621	0.13376456842127	0.14931217034187	0.085418861751642	spen	1
GO:0030855	epithelial cell differentiation	1/4	452/12621	0.135755096305669	0.14931217034187	0.085418861751642	spen	1
GO:0048584	positive regulation of response to stimulus	1/4	458/12621	0.137458530918423	0.14931217034187	0.085418861751642	spen	1
GO:0048667	cell morphogenesis involved in neuron differentiation	1/4	458/12621	0.137458530918423	0.14931217034187	0.085418861751642	spen	1
GO:0048812	neuron projection morphogenesis	1/4	465/12621	0.139442687288981	0.14931217034187	0.085418861751642	spen	1
GO:0120039	plasma membrane bounded cell projection morphogenesis	1/4	466/12621	0.139725858500798	0.14931217034187	0.085418861751642	spen	1
GO:0048858	cell projection morphogenesis	1/4	468/12621	0.140291991265763	0.14931217034187	0.085418861751642	spen	1
GO:0048707	instar larval or pupal morphogenesis	1/4	469/12621	0.140574952841912	0.14931217034187	0.085418861751642	spen	1
GO:0001654	eye development	1/4	476/12621	0.142553728563175	0.14931217034187	0.085418861751642	spen	1
GO:0048880	sensory system development	1/4	476/12621	0.142553728563175	0.14931217034187	0.085418861751642	spen	1
GO:0150063	visual system development	1/4	476/12621	0.142553728563175	0.14931217034187	0.085418861751642	spen	1
GO:0032990	cell part morphogenesis	1/4	477/12621	0.142836131616756	0.14931217034187	0.085418861751642	spen	1
GO:0009886	post-embryonic animal morphogenesis	1/4	482/12621	0.144247100660454	0.14931217034187	0.085418861751642	spen	1
GO:0048569	post-embryonic animal organ development	1/4	489/12621	0.14621952998448	0.14931217034187	0.085418861751642	spen	1
GO:0031175	neuron projection development	1/4	493/12621	0.147345100435613	0.14931217034187	0.085418861751642	spen	1
GO:0007552	metamorphosis	1/4	496/12621	0.148188547645171	0.14931217034187	0.085418861751642	spen	1
GO:0007267	cell-cell signaling	1/4	500/12621	0.14931217034187	0.14931217034187	0.085418861751642	spen	1
GO:0060562	epithelial tube morphogenesis	1/4	500/12621	0.14931217034187	0.14931217034187	0.085418861751642	spen	1
