ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneParse
GO:0004252	serine-type endopeptidase activity	2/7	243/12054	0.00795000690634367	0.0214594374401472	0.00250987572399383	CG11912/CG11911	2	CG11912
GO:0004252	serine-type endopeptidase activity	2/7	243/12054	0.00795000690634367	0.0214594374401472	0.00250987572399383	CG11912/CG11911	2	CG11911
GO:0005044	scavenger receptor activity	1/7	14/12054	0.00810381833926088	0.0214594374401472	0.00250987572399383	crq	1	crq
GO:0008236	serine-type peptidase activity	2/7	266/12054	0.0094687231815937	0.0214594374401472	0.00250987572399383	CG11912/CG11911	2	CG11912
GO:0008236	serine-type peptidase activity	2/7	266/12054	0.0094687231815937	0.0214594374401472	0.00250987572399383	CG11912/CG11911	2	CG11911
GO:0017171	serine hydrolase activity	2/7	267/12054	0.00953752775117655	0.0214594374401472	0.00250987572399383	CG11912/CG11911	2	CG11912
GO:0017171	serine hydrolase activity	2/7	267/12054	0.00953752775117655	0.0214594374401472	0.00250987572399383	CG11912/CG11911	2	CG11911
GO:0038024	cargo receptor activity	1/7	21/12054	0.0121345737372411	0.0218422327270341	0.00255464710257708	crq	1	crq
GO:0004175	endopeptidase activity	2/7	403/12054	0.0209454421189368	0.0314181631784052	0.00367463896823452	CG11912/CG11911	2	CG11912
GO:0004175	endopeptidase activity	2/7	403/12054	0.0209454421189368	0.0314181631784052	0.00367463896823452	CG11912/CG11911	2	CG11911
GO:0019783	ubiquitin-like protein-specific protease activity	1/7	49/12054	0.0281175238420012	0.0361511020825729	0.00422819907398514	CG11023	1	CG11023
GO:0008234	cysteine-type peptidase activity	1/7	79/12054	0.0449956462965931	0.0506201020836673	0.00592047977586752	CG11023	1	CG11023
GO:0051082	unfolded protein binding	1/7	92/12054	0.0522310962869267	0.0522310962869267	0.00610890015051774	Hsp60B	1	Hsp60B
